"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"673","士林區","房地(土地+建物)+車位","臺北市士林區雨農路32巷1~30號",41.54,"住",NA,NA,10102,"土地1建物1車位1","四層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030819,217.04,3,2,2,"有","有",33500000,178172,"升降平面",38,1600000
"674","士林區","房地(土地+建物)+車位","臺北市士林區雨農路32巷1~30號",41.54,"住",NA,NA,10105,"土地1建物1車位1","五層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030819,216.99,3,2,2,"有","有",35230000,187888,"升降平面",38,1600000
"675","士林區","房地(土地+建物)+車位","臺北市士林區雨農路32巷1~30號",58.85,"住",NA,NA,10008,"土地1建物1車位2","十二層，十三層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030819,314.98,3,2,2,"有","有",62970000,249268,"升降平面",76,3400000
"676","大安區","房地(土地+建物)+車位","臺北市大安區信義路四段391~420號",13.48,"商",NA,NA,10310,"土地6建物1車位1","四層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1001027,185.33,3,2,2,"有","有",62000000,334538,"坡道平面",0,0
"677","大安區","房地(土地+建物)","臺北市大安區延吉街121~150號",12.12,"住",NA,NA,10309,"土地1建物1車位0","六層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740926,64.02,2,2,1,"有","有",21880000,341768,"",0,0
"678","大安區","房地(土地+建物)","臺北市大安區復興南路二段61~90號",8.47,"商",NA,NA,10310,"土地1建物1車位0","七層",16,"住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",750801,130.11,3,2,2,"有","有",38800000,298209,"",0,0
"679","中正區","房地(土地+建物)","臺北市中正區廈門街25巷4弄1~30號",32,"住",NA,NA,10309,"土地1建物1車位0","一層，平台",4,"公寓(5樓含以下無電梯)","","鋼筋混凝土造",NA,94.8,1,2,2,"有","無",23360000,246414,"",0,0
"680","文山區","房地(土地+建物)","臺北市文山區新光路一段151~180號",24.54,"住",NA,NA,10309,"土地2建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700805,117,3,2,1,"有","無",15600000,133333,"",0,0
"681","中山區","房地(土地+建物)","臺北市中山區中山北路二段59巷1~30號",5.41,"商",NA,NA,10310,"土地1建物1車位0","六層",14,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",880427,38.69,2,1,1,"有","有",9280000,239855,"",0,0
"682","大同區","土地","雙連段二小段271~300地號",15.6,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",612300,39250,"",0,0
